{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 5, 'min_freq': 100, 'lr': 0.001, 'dropout': 0.7, 'freeze': False, 'rand_emb': True, 'acc': 50.917, 'f1': nan}
{'cell_name': 'lstm', 'hidden_size': 50, 'num_layers': 2, 'min_freq': 100, 'lr': 1e-07, 'dropout': 0.7, 'freeze': False, 'rand_emb': False, 'acc': 49.083, 'f1': 65.846}
{'cell_name': 'lstm', 'hidden_size': 50, 'num_layers': 5, 'min_freq': 0, 'lr': 0.001, 'dropout': 0.7, 'freeze': False, 'rand_emb': False, 'acc': 74.083, 'f1': 68.611}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 4, 'min_freq': 0, 'lr': 1e-07, 'dropout': 0.4, 'freeze': False, 'rand_emb': True, 'acc': 49.083, 'f1': 65.846}
{'cell_name': 'lstm', 'hidden_size': 50, 'num_layers': 4, 'min_freq': 0, 'lr': 0.0001, 'dropout': 0.7, 'freeze': False, 'rand_emb': True, 'acc': 50.917, 'f1': nan}
{'cell_name': 'lstm', 'hidden_size': 150, 'num_layers': 2, 'min_freq': 0, 'lr': 0.0001, 'dropout': 0.7, 'freeze': False, 'rand_emb': True, 'acc': 66.972, 'f1': 71.026}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 5, 'min_freq': 0, 'lr': 1e-07, 'dropout': 0.7, 'freeze': False, 'rand_emb': False, 'acc': 50.917, 'f1': nan}
{'cell_name': 'lstm', 'hidden_size': 150, 'num_layers': 2, 'min_freq': 0, 'lr': 0.0001, 'dropout': 0.7, 'freeze': False, 'rand_emb': True, 'acc': 66.514, 'f1': 61.376}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 2, 'min_freq': 500, 'lr': 0.0001, 'dropout': 0.7, 'freeze': True, 'rand_emb': False, 'acc': 50.917, 'f1': nan}
{'cell_name': 'lstm', 'hidden_size': 50, 'num_layers': 2, 'min_freq': 100, 'lr': 1e-07, 'dropout': 0.1, 'freeze': True, 'rand_emb': True, 'acc': 50.917, 'f1': nan}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 4, 'min_freq': 100, 'lr': 0.0001, 'dropout': 0.7, 'freeze': True, 'rand_emb': False, 'acc': 50.917, 'f1': nan}
{'cell_name': 'lstm', 'hidden_size': 150, 'num_layers': 5, 'min_freq': 500, 'lr': 0.0001, 'dropout': 0.4, 'freeze': False, 'rand_emb': True, 'acc': 60.206, 'f1': 55.11}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 5, 'min_freq': 0, 'lr': 1e-07, 'dropout': 0.4, 'freeze': True, 'rand_emb': True, 'acc': 49.083, 'f1': 65.846}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 4, 'min_freq': 0, 'lr': 0.001, 'dropout': 0.4, 'freeze': False, 'rand_emb': False, 'acc': 49.197, 'f1': 13.307}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 5, 'min_freq': 500, 'lr': 0.0001, 'dropout': 0.1, 'freeze': True, 'rand_emb': True, 'acc': 62.271, 'f1': 59.632}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 2, 'min_freq': 0, 'lr': 0.0001, 'dropout': 0.1, 'freeze': True, 'rand_emb': False, 'acc': 79.243, 'f1': 78.219}
{'cell_name': 'lstm', 'hidden_size': 150, 'num_layers': 5, 'min_freq': 500, 'lr': 0.0001, 'dropout': 0.7, 'freeze': False, 'rand_emb': True, 'acc': 59.289, 'f1': 49.929}
{'cell_name': 'lstm', 'hidden_size': 50, 'num_layers': 4, 'min_freq': 0, 'lr': 0.001, 'dropout': 0.4, 'freeze': False, 'rand_emb': False, 'acc': 76.95, 'f1': 73.93}
{'cell_name': 'lstm', 'hidden_size': 50, 'num_layers': 2, 'min_freq': 100, 'lr': 0.001, 'dropout': 0.4, 'freeze': False, 'rand_emb': True, 'acc': 66.972, 'f1': 64.444}
{'cell_name': 'lstm', 'hidden_size': 300, 'num_layers': 5, 'min_freq': 500, 'lr': 1e-07, 'dropout': 0.4, 'freeze': False, 'rand_emb': True, 'acc': 50.917, 'f1': nan}
